price,nome,prazo,platform
11245,The Legend of Heroes: Trails of Cold Steel III,2022-07-21T06:59:00Z,PS4
22499,Back 4 Blood: Deluxe Edition PS4 and PS5,2022-07-21T06:59:00Z,PS4/5
8970,Ben 10: Power Trip,2022-07-21T06:59:00Z,PS4
9731,Call of Duty®: Black Ops 4,2022-07-21T06:59:00Z,PS4
9731,Call of Duty®: Black Ops 4,2022-07-21T06:59:00Z,PS4
9731,Call of Duty®: Black Ops 4,2022-07-21T06:59:00Z,PS4
7497,Captain Tsubasa: Rise of New Champions,2022-07-21T06:59:00Z,PS4
1990,Cartoon Network: Battle Crashers,2022-07-21T06:59:00Z,PS4
1670,Castlevania Requiem: Symphony of the Night and Rondo of Blood,2022-07-21T06:59:00Z,PS4
4485,Control,2022-07-14T06:59:00Z,PS4
6396,Crysis Remastered,2022-07-21T06:59:00Z,PS4/5
17218,Crysis Remastered Trilogy,2022-07-21T06:59:00Z,PS4
11996,DEATHLOOP,2022-07-21T06:59:00Z,PS5
4017,Devil May Cry 4 Special Edition,2022-07-21T06:59:00Z,PS4
4017,Devil May Cry 4 Special Edition,2022-07-21T06:59:00Z,PS4
4017,Devil May Cry 4 Special Edition,2022-07-21T06:59:00Z,PS4
4017,Devil May Cry 4 Special Edition,2022-07-21T06:59:00Z,PS4
3999,Digimon World: Next Order,2022-07-14T06:59:00Z,PS4
5980,Dishonored 2,2022-07-21T06:59:00Z,PS4
7358,DRAGON BALL FIGHTERZ - Edição Ultimate,2022-07-21T06:59:00Z,PS4
7358,DRAGON BALL FIGHTERZ - Edição Ultimate,2022-07-21T06:59:00Z,PS4
19495,DRAGON BALL Z: KAKAROT - Edição Definitiva,2022-07-21T06:59:00Z,PS4
7497,DRAGON BALL Z: KAKAROT,2022-07-21T06:59:00Z,PS4
19495,DRAGON BALL Z: KAKAROT - Edição Definitiva,2022-07-21T06:59:00Z,PS4
7497,DRAGON BALL Z: KAKAROT,2022-07-21T06:59:00Z,PS4
4975,Fallout 4,2022-07-14T06:59:00Z,PS4
4121,Far Cry® 3 Classic Edition,2022-07-21T06:59:00Z,PS4
4121,Far Cry® 3 Classic Edition,2022-07-21T06:59:00Z,PS4
2887,Far Cry® 4 ,2022-07-21T06:59:00Z,PS4/5
8749,Far Cry New Dawn Complete Edition,2022-07-21T06:59:00Z,PS4
