price,nome,prazo,platform
3590,7 Days to Die,2022-07-07T06:59:00Z,PS4
10465,A Patrulha Canina 'tá com tudo!,2022-07-07T06:59:00Z,PS4
6666,Alan Wake Remastered,2022-07-07T06:59:00Z,PS5
3199,Assetto Corsa Ultimate Edition,2022-07-07T06:59:00Z,PS4
15894,Ben 10 Conjunto,2022-07-07T06:59:00Z,PS4
8725,Bloodborne™ Complete Edition Bundle,2022-07-07T06:59:00Z,PS4
8725,Bloodborne™ Complete Edition Bundle,2022-07-07T06:59:00Z,PS4
8822,Edição Deluxe de Captain Tsubasa: Rise of New Champions,2022-07-07T06:59:00Z,PS4
3740,Child of Light® Ultimate Edition,2022-07-07T06:59:00Z,PS4
2397,Child of Light™,2022-07-07T06:59:00Z,PS4
15894,Chivalry 2 Special Edition PS4 and PS5,2022-07-07T06:59:00Z,PS4/5
6598,CODE VEIN - Edição Deluxe,2022-07-07T06:59:00Z,PS4
9975,Poison Control,2022-07-07T06:59:00Z,PS4
10287,BlazBlue: Chrono Phantasma EXTEND,2022-07-07T06:59:00Z,PS4
14380,Pacote de Jogos - Crash™ Team Racing Nitro-Fueled + Spyro™,2022-07-07T06:59:00Z,PS4
6025,Dawn of Man,2022-07-07T06:59:00Z,PS4
15894,DayZ,2022-07-07T06:59:00Z,PS4
19960,DEATH STRANDING Digital Deluxe Edition,2022-07-07T06:59:00Z,PS4
19960,DEATH STRANDING Digital Deluxe Edition,2022-07-07T06:59:00Z,PS4
15980,DEATHLOOP Deluxe Edition,2022-07-07T06:59:00Z,PS5
7845,Disney Classic Games Collection,2022-07-07T06:59:00Z,PS4
17495,DOOM Eternal Deluxe Edition - PS4 and PS5,2022-07-07T06:59:00Z,PS4/5
5998,DRAGON BALL FIGHTERZ - FighterZ Edition,2022-07-07T06:59:00Z,PS4/5
5998,DRAGON BALL FIGHTERZ - FighterZ Edition,2022-07-07T06:59:00Z,PS4/5
4498,DRAGON BALL XENOVERSE 2,2022-07-07T06:59:00Z,PS4
4498,DRAGON BALL XENOVERSE 2,2022-07-07T06:59:00Z,PS4
10497,DRAGON BALL Z: KAKAROT - Edição de Luxo,2022-07-07T06:59:00Z,PS4
10497,DRAGON BALL Z: KAKAROT - Edição de Luxo,2022-07-07T06:59:00Z,PS4
19975,Skyrim Anniversary Edition + Fallout 4 G.O.T.Y Bundle,2022-07-07T06:59:00Z,PS4/5
9980,BUNDLE FAR CRY 4 + FAR CRY PRIMAL,2022-07-07T06:59:00Z,PS4
19996,Far Cry 6 Ultimate Edition PS4 and PS5,2022-07-07T06:59:00Z,PS5
13596,Far Cry® 6 Deluxe Edition,2022-07-07T06:59:00Z,PS5
5399,Far Cry New Dawn Deluxe Edition,2022-07-07T06:59:00Z,PS4
4499,Far Cry New Dawn,2022-07-07T06:59:00Z,PS4
5399,Far Cry New Dawn Deluxe Edition,2022-07-07T06:59:00Z,PS4
4499,Far Cry New Dawn,2022-07-07T06:59:00Z,PS4
3299,Far Cry  Primal,2022-07-07T06:59:00Z,PS4
9980,BUNDLE FAR CRY 4 + FAR CRY PRIMAL,2022-07-07T06:59:00Z,PS4
3299,Far Cry  Primal,2022-07-07T06:59:00Z,PS4
9980,BUNDLE FAR CRY 4 + FAR CRY PRIMAL,2022-07-07T06:59:00Z,PS4
10167,FIFA 22 para PS5™,2022-07-07T06:59:00Z,PS4/5
5081,FIFA 22 para PS4™,2022-07-07T06:59:00Z,PS4/5
7507,GreedFall - Gold Edition,2022-07-07T06:59:00Z,PS5
4999,Assassin's Creed® Odyssey,2022-07-07T06:59:00Z,PS4
9337,Hades,2022-07-07T06:59:00Z,PS5
3125,Hollow Knight Voidheart Edition,2022-07-07T06:59:00Z,PS4
10372,Immortals Fenyx Rising™ Gold Edition PS4 and PS5,2022-07-07T06:59:00Z,PS4/5
1798,Injustice™ 2,2022-07-07T06:59:00Z,PS4
1798,Injustice™ 2,2022-07-07T06:59:00Z,PS4
4990,Jurassic World Evolution,2022-07-07T06:59:00Z,PS4
4990,Jurassic World Evolution,2022-07-07T06:59:00Z,PS4
5490,Jurssic World Evolution Deluxe Edition,2022-07-07T06:59:00Z,PS4
1252,Just Cause 3,2022-07-07T06:59:00Z,PS4
1873,Just Cause 3: XXL Edition,2022-07-07T06:59:00Z,PS4
11796,Kingdoms of Amalur: Re-Reckoning - Fate Edition,2022-07-07T06:59:00Z,PS4
6818,Layers of Fear VR,2022-07-07T06:59:00Z,PS4
2998,LEGO® NINJAGO® O Filme: Video Game,2022-07-07T06:59:00Z,PS4
2998,LEGO® NINJAGO® O Filme: Video Game,2022-07-07T06:59:00Z,PS4
3920,Life is Strange 2 - Temporada Completa,2022-07-07T06:59:00Z,PS4/5
3920,Life is Strange 2 - Temporada Completa,2022-07-07T06:59:00Z,PS4/5
3920,Life is Strange 2 - Temporada Completa,2022-07-07T06:59:00Z,PS4/5
